"Year","Taxon","Importer","Exporter","Importer.reported.quantity","Exporter.reported.quantity","Term","Purpose","Source"
1981,"Myiopsitta monachus","MX","AR",NA,235,"live","T",""
1982,"Myiopsitta monachus","MX","AR",NA,100,"live","T",""
1994,"Myiopsitta monachus","MX","BE",10,2,"live","T","C"
1995,"Myiopsitta monachus","MX","BE",5,5,"live","T","C"
1999,"Myiopsitta monachus","MX","AR",500,500,"live","T","W"
1999,"Myiopsitta monachus","MX","PY",652,652,"live","T","W"
2000,"Myiopsitta monachus","MX","PY",100,100,"live","T","W"
2001,"Myiopsitta monachus","MX","PY",300,300,"live","T","W"
2004,"Myiopsitta monachus","MX","AR",500,NA,"live","T","W"
2005,"Myiopsitta monachus","MX","AR",1000,1000,"live","T","W"
2006,"Myiopsitta monachus","MX","AR",1990,1990,"live","T","W"
2006,"Myiopsitta monachus","MX","UY",11500,11850,"live","T","W"
2007,"Myiopsitta monachus","MX","AR",1130,1110,"live","T","W"
2007,"Myiopsitta monachus","MX","UY",36900,33630,"live","T","W"
2008,"Myiopsitta monachus","MX","UY",36300,39200,"live","T","W"
2009,"Myiopsitta monachus","MX","UY",67560,60480,"live","T","W"
2010,"Myiopsitta monachus","MX","UY",NA,9140,"live","T","C"
2010,"Myiopsitta monachus","MX","UY",90500,67460,"live","T","W"
2011,"Myiopsitta monachus","MX","AR",8866,7266,"live","T","W"
2011,"Myiopsitta monachus","MX","UY",NA,9950,"live","T","C"
2011,"Myiopsitta monachus","MX","UY",11700,NA,"live","T","O"
2011,"Myiopsitta monachus","MX","UY",66100,65000,"live","T","W"
2011,"Myiopsitta monachus","MX","UY",NA,2600,"live","T",""
2012,"Myiopsitta monachus","MX","AR",2200,2200,"live","T","W"
2012,"Myiopsitta monachus","MX","UY",2000,38500,"live","T","C"
2012,"Myiopsitta monachus","MX","UY",800,NA,"live","T","R"
2012,"Myiopsitta monachus","MX","UY",124000,77700,"live","T","W"
2013,"Myiopsitta monachus","MX","UY",NA,10000,"live","T","C"
2013,"Myiopsitta monachus","MX","UY",111700,90700,"live","T","W"
2014,"Myiopsitta monachus","MX","UY",15000,NA,"live","T","W"
